id,name,year,price,mileage,transmission,fuel,image,gallery,badge,isAvailable
11,Golf GTI APR Stg 3,2016,17 777 CAD,"143,000 km",Manuelle,Essence,/Cars/GolfGTIAPRStg3/IMG-20250808-WA0001.jpg,"['/Cars/GolfGTIAPRStg3/IMG-20250808-WA0002.jpg', '/Cars/GolfGTIAPRStg3/IMG-20250808-WA0003.jpg', '/Cars/GolfGTIAPRStg3/IMG-20250808-WA0004.jpg', '/Cars/GolfGTIAPRStg3/IMG-20250808-WA0005.jpg', '/Cars/GolfGTIAPRStg3/IMG-20250808-WA0006.jpg', '/Cars/GolfGTIAPRStg3/IMG-20250808-WA0007.jpg', '/Cars/GolfGTIAPRStg3/IMG-20250808-WA0008.jpg', '/Cars/GolfGTIAPRStg3/IMG-20250808-WA0009.jpg', '/Cars/GolfGTIAPRStg3/IMG-20250808-WA0010.jpg']",Vendu,False
12,Honda Civic Black,2023,23 000 CAD,"88,000 km",Automatique,Essence,/Cars/HondaCivicBlack/IMG-20250808-WA0023.jpg,"['/Cars/HondaCivicBlack/IMG-20250808-WA0020.jpg', '/Cars/HondaCivicBlack/IMG-20250808-WA0021.jpg', '/Cars/HondaCivicBlack/IMG-20250808-WA0022.jpg', '/Cars/HondaCivicBlack/IMG-20250808-WA0024.jpg', '/Cars/HondaCivicBlack/IMG-20250808-WA0025.jpg', '/Cars/HondaCivicBlack/IMG-20250808-WA0026.jpg', '/Cars/HondaCivicBlack/IMG-20250808-WA0027.jpg', '/Cars/HondaCivicBlack/IMG-20250808-WA0028.jpg', '/Cars/HondaCivicBlack/IMG-20250808-WA0029.jpg', '/Cars/HondaCivicBlack/IMG-20250808-WA0030.jpg']",Vendu,False
13,Honda Civic Red,2019,18 000 CAD,"55,000 km",Automatique,Essence,/Cars/HondaCivicRed/IMG-20250808-WA0034.jpg,"['/Cars/HondaCivicRed/IMG-20250808-WA0031.jpg', '/Cars/HondaCivicRed/IMG-20250808-WA0032.jpg', '/Cars/HondaCivicRed/IMG-20250808-WA0033.jpg', '/Cars/HondaCivicRed/IMG-20250808-WA0035.jpg', '/Cars/HondaCivicRed/IMG-20250808-WA0036.jpg', '/Cars/HondaCivicRed/IMG-20250808-WA0037.jpg', '/Cars/HondaCivicRed/IMG-20250808-WA0038.jpg', '/Cars/HondaCivicRed/IMG-20250808-WA0039.jpg']",Vendu,False
14,Audi Q5 Progressive S-Line,2022,35 995 CAD,"93,000 km",Automatique,Essence,/Cars/AudiQ5ProgressiveS-Line/IMG-20250902-WA0003.jpg,"['/Cars/AudiQ5ProgressiveS-Line/IMG-20250902-WA0001.jpg', '/Cars/AudiQ5ProgressiveS-Line/IMG-20250902-WA0002.jpg', '/Cars/AudiQ5ProgressiveS-Line/IMG-20250902-WA0004.jpg', '/Cars/AudiQ5ProgressiveS-Line/IMG-20250902-WA0005.jpg', '/Cars/AudiQ5ProgressiveS-Line/IMG-20250902-WA0006.jpg', '/Cars/AudiQ5ProgressiveS-Line/IMG-20250902-WA0007.jpg', '/Cars/AudiQ5ProgressiveS-Line/IMG-20250902-WA0008.jpg', '/Cars/AudiQ5ProgressiveS-Line/IMG-20250902-WA0009.jpg', '/Cars/AudiQ5ProgressiveS-Line/IMG-20250902-WA0010.jpg', '/Cars/AudiQ5ProgressiveS-Line/IMG-20250902-WA0011.jpg', '/Cars/AudiQ5ProgressiveS-Line/IMG-20250902-WA0012.jpg', '/Cars/AudiQ5ProgressiveS-Line/IMG-20250902-WA0013.jpg', '/Cars/AudiQ5ProgressiveS-Line/IMG-20250902-WA0014.jpg']",Disponible,True
15,Ford Edge Sport,2017,17 895 CAD,"164,546 km",Automatique,Essence,/Cars/FordEdgeSport/IMG-20250902-WA0022.jpg,"['/Cars/FordEdgeSport/IMG-20250902-WA0015.jpg', '/Cars/FordEdgeSport/IMG-20250902-WA0016.jpg', '/Cars/FordEdgeSport/IMG-20250902-WA0017.jpg', '/Cars/FordEdgeSport/IMG-20250902-WA0018.jpg', '/Cars/FordEdgeSport/IMG-20250902-WA0019.jpg', '/Cars/FordEdgeSport/IMG-20250902-WA0020.jpg', '/Cars/FordEdgeSport/IMG-20250902-WA0021.jpg', '/Cars/FordEdgeSport/IMG-20250902-WA0023.jpg', '/Cars/FordEdgeSport/IMG-20250902-WA0024.jpg', '/Cars/FordEdgeSport/IMG-20250902-WA0025.jpg', '/Cars/FordEdgeSport/IMG-20250902-WA0026.jpg']",Disponible,True
16,Bmw 320XI,2017,13 995 CAD,"151,000 km",Automatique,Essence,/Cars/Bmw320XI/IMG-20250903-WA0010.jpg,"['/Cars/Bmw320XI/IMG-20250903-WA0003.jpg', '/Cars/Bmw320XI/IMG-20250903-WA0004.jpg', '/Cars/Bmw320XI/IMG-20250903-WA0005.jpg', '/Cars/Bmw320XI/IMG-20250903-WA0006.jpg', '/Cars/Bmw320XI/IMG-20250903-WA0007.jpg', '/Cars/Bmw320XI/IMG-20250903-WA0008.jpg', '/Cars/Bmw320XI/IMG-20250903-WA0009.jpg', '/Cars/Bmw320XI/IMG-20250903-WA0011.jpg', '/Cars/Bmw320XI/IMG-20250903-WA0012.jpg', '/Cars/Bmw320XI/IMG-20250903-WA0013.jpg', '/Cars/Bmw320XI/IMG-20250903-WA0014.jpg', '/Cars/Bmw320XI/IMG-20250903-WA0015.jpg', '/Cars/Bmw320XI/IMG-20250903-WA0016.jpg', '/Cars/Bmw320XI/IMG-20250903-WA0017.jpg']",Disponible,True
17,Mercedes C300 4MATIC AMG,2016,17 995 CAD,"102,000 km",Automatique,Essence,/Cars/MercedesC300AMG/IMG-20250903-WA0025.jpg,"['/Cars/MercedesC300AMG/IMG-20250903-WA0018.jpg', '/Cars/MercedesC300AMG/IMG-20250903-WA0019.jpg', '/Cars/MercedesC300AMG/IMG-20250903-WA0020.jpg', '/Cars/MercedesC300AMG/IMG-20250903-WA0021.jpg', '/Cars/MercedesC300AMG/IMG-20250903-WA0022.jpg', '/Cars/MercedesC300AMG/IMG-20250903-WA0023.jpg', '/Cars/MercedesC300AMG/IMG-20250903-WA0024.jpg', '/Cars/MercedesC300AMG/IMG-20250903-WA0026.jpg', '/Cars/MercedesC300AMG/IMG-20250903-WA0027.jpg', '/Cars/MercedesC300AMG/IMG-20250903-WA0028.jpg', '/Cars/MercedesC300AMG/IMG-20250903-WA0029.jpg', '/Cars/MercedesC300AMG/IMG-20250903-WA0030.jpg', '/Cars/MercedesC300AMG/IMG-20250903-WA0031.jpg']",Disponible,True
18,Nissan Rogue SL,2014,13 995 CAD,"104,200 km",Automatique,Essence,/Cars/NissanRogueSL/IMG-20250905-WA0017.jpg,"['/Cars/NissanRogueSL/IMG-20250905-WA0005.jpg', '/Cars/NissanRogueSL/IMG-20250905-WA0006.jpg', '/Cars/NissanRogueSL/IMG-20250905-WA0007.jpg', '/Cars/NissanRogueSL/IMG-20250905-WA0008.jpg', '/Cars/NissanRogueSL/IMG-20250905-WA0009.jpg', '/Cars/NissanRogueSL/IMG-20250905-WA0010.jpg', '/Cars/NissanRogueSL/IMG-20250905-WA0011.jpg', '/Cars/NissanRogueSL/IMG-20250905-WA0012.jpg', '/Cars/NissanRogueSL/IMG-20250905-WA0013.jpg', '/Cars/NissanRogueSL/IMG-20250905-WA0014.jpg', '/Cars/NissanRogueSL/IMG-20250905-WA0015.jpg', '/Cars/NissanRogueSL/IMG-20250905-WA0016.jpg']",Disponible,True
19,Range Rover Super Charged,2019,49 999 CAD,"103,000 km",Automatique,Diesel,/Cars/RangeRoverSuperCharged/IMG-20250914-WA0011.jpg,"['/Cars/RangeRoverSuperCharged/IMG-20250914-WA0002.jpg', '/Cars/RangeRoverSuperCharged/IMG-20250914-WA0003.jpg', '/Cars/RangeRoverSuperCharged/IMG-20250914-WA0004.jpg', '/Cars/RangeRoverSuperCharged/IMG-20250914-WA0005.jpg', '/Cars/RangeRoverSuperCharged/IMG-20250914-WA0006.jpg', '/Cars/RangeRoverSuperCharged/IMG-20250914-WA0007.jpg', '/Cars/RangeRoverSuperCharged/IMG-20250914-WA0008.jpg', '/Cars/RangeRoverSuperCharged/IMG-20250914-WA0009.jpg', '/Cars/RangeRoverSuperCharged/IMG-20250914-WA0010.jpg', '/Cars/RangeRoverSuperCharged/IMG-20250914-WA0012.jpg', '/Cars/RangeRoverSuperCharged/IMG-20250914-WA0013.jpg', '/Cars/RangeRoverSuperCharged/IMG-20250914-WA0014.jpg', '/Cars/RangeRoverSuperCharged/IMG-20250914-WA0015.jpg', '/Cars/RangeRoverSuperCharged/IMG-20250914-WA0016.jpg']",Disponible,True
20,Kia Sedona,2020,19 995 CAD,"93,000 km",Automatique,Essence,/Cars/KiaSedona/IMG-20250914-WA0033.jpg,"['/Cars/KiaSedona/IMG-20250914-WA0017.jpg', '/Cars/KiaSedona/IMG-20250914-WA0018.jpg', '/Cars/KiaSedona/IMG-20250914-WA0019.jpg', '/Cars/KiaSedona/IMG-20250914-WA0020.jpg', '/Cars/KiaSedona/IMG-20250914-WA0021.jpg', '/Cars/KiaSedona/IMG-20250914-WA0022.jpg', '/Cars/KiaSedona/IMG-20250914-WA0023.jpg', '/Cars/KiaSedona/IMG-20250914-WA0024.jpg', '/Cars/KiaSedona/IMG-20250914-WA0025.jpg', '/Cars/KiaSedona/IMG-20250914-WA0026.jpg', '/Cars/KiaSedona/IMG-20250914-WA0027.jpg', '/Cars/KiaSedona/IMG-20250914-WA0028.jpg', '/Cars/KiaSedona/IMG-20250914-WA0029.jpg', '/Cars/KiaSedona/IMG-20250914-WA0030.jpg', '/Cars/KiaSedona/IMG-20250914-WA0034.jpg']",Disponible,True
