id,name,size,url,title,description,min_cpu,min_gpu,min_ram,rec_cpu,rec_gpu,rec_ram,rating,reviews_count,downloads,views,categories
14,Parcel Simulator,N/A,https://www.wifi4games.com/pc_games/Parcel_Simulator.html,تحميل لعبة محاكي الطرود Parcel Simulator,ليصلك كل جديد تابع قناتنا على تيليجرام,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"اكشن, قتال, استراتيجية, رعب, مغامرات, السباق والسيارات, محاكاة الواقع, رياضة, ذكاء, تصويب, العاب قديمة, خفيفة و مسلية, خيال علمي, نجاة"
15,LEGO Builder's Journey,N/A,https://www.wifi4games.com/pc_games/LEGO_Builder's_Journey.html,تحميل لعبة الالغاز LEGO Builder's Journey,ليصلك كل جديد تابع قناتنا على تيليجرام,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"اكشن, قتال, استراتيجية, رعب, مغامرات, السباق والسيارات, محاكاة الواقع, رياضة, ذكاء, تصويب, العاب قديمة, خفيفة و مسلية, خيال علمي, نجاة"
16,The Long Dark,N/A,https://www.wifi4games.com/pc_games/The_Long_Dark.html,تحميل لعبة The Long Dark,ليصلك كل جديد تابع قناتنا على تيليجرام,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"اكشن, قتال, استراتيجية, رعب, مغامرات, السباق والسيارات, محاكاة الواقع, رياضة, ذكاء, تصويب, العاب قديمة, خفيفة و مسلية, خيال علمي, نجاة"
17,R.E.P.O,N/A,https://www.wifi4games.com/pc_games/R.E.P.O.html,تحميل لعبة R.E.P.O,ليصلك كل جديد تابع قناتنا على تيليجرام,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"اكشن, قتال, استراتيجية, رعب, مغامرات, السباق والسيارات, محاكاة الواقع, رياضة, ذكاء, تصويب, العاب قديمة, خفيفة و مسلية, خيال علمي, نجاة"
18,Schedule I,N/A,https://www.wifi4games.com/pc_games/Schedule_I.html,تحميل لعبة تجارة المخدرات Schedule I,ليصلك كل جديد تابع قناتنا على تيليجرام,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"اكشن, قتال, استراتيجية, رعب, مغامرات, السباق والسيارات, محاكاة الواقع, رياضة, ذكاء, تصويب, العاب قديمة, خفيفة و مسلية, خيال علمي, نجاة"
19,Commandos: Origins,N/A,https://www.wifi4games.com/pc_games/Commandos:_Origins.html,تحميل لعبة التخفي والاستراتيجية Commandos: Origins,ليصلك كل جديد تابع قناتنا على تيليجرام,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"اكشن, قتال, استراتيجية, رعب, مغامرات, السباق والسيارات, محاكاة الواقع, رياضة, ذكاء, تصويب, العاب قديمة, خفيفة و مسلية, خيال علمي, نجاة"
20,Tomb Raider IV-V-VI Remastered,N/A,https://www.wifi4games.com/pc_games/Tomb_Raider_IV-VI_Remastered.html,تحميل لعبة تومب رايدر 4-5-6 ريماسترد Tomb Raider IV-V-VI Remastered,ليصلك كل جديد تابع قناتنا على تيليجرام,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"اكشن, قتال, استراتيجية, رعب, مغامرات, السباق والسيارات, محاكاة الواقع, رياضة, ذكاء, تصويب, العاب قديمة, خفيفة و مسلية, خيال علمي, نجاة"
21,The Last of Us Part II Remastered,N/A,https://www.wifi4games.com/pc_games/The_Last_of_Us_Part_II_Remastered.html,تحميل لعبة ذا لاست أوف أس2 The Last of Us Part II Remastered,ليصلك كل جديد تابع قناتنا على تيليجرام,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"اكشن, قتال, استراتيجية, رعب, مغامرات, السباق والسيارات, محاكاة الواقع, رياضة, ذكاء, تصويب, العاب قديمة, خفيفة و مسلية, خيال علمي, نجاة"
22,Farming Simulator 25,N/A,https://www.wifi4games.com/pc_games/Farming_Simulator_25.html,تحميل لعبة فارمينج سيموليتر Farming Simulator 25,ليصلك كل جديد تابع قناتنا على تيليجرام,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"اكشن, قتال, استراتيجية, رعب, مغامرات, السباق والسيارات, محاكاة الواقع, رياضة, ذكاء, تصويب, العاب قديمة, خفيفة و مسلية, خيال علمي, نجاة"
23,Split Fiction,N/A,https://www.wifi4games.com/pc_games/Split_Fiction.html,تحميل لعبة المغامرات سبلت فكشن Split Fiction مع الاونلاين,ليصلك كل جديد تابع قناتنا على تيليجرام,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"اكشن, قتال, استراتيجية, رعب, مغامرات, السباق والسيارات, محاكاة الواقع, رياضة, ذكاء, تصويب, العاب قديمة, خفيفة و مسلية, خيال علمي, نجاة"
24,Recycling Center Simulator,N/A,https://www.wifi4games.com/pc_games/Recycling_Center_Simulator.html,تحميل لعبة محاكاة مركز إعادة التدوير Recycling Center Simulator,ليصلك كل جديد تابع قناتنا على تيليجرام,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"اكشن, قتال, استراتيجية, رعب, مغامرات, السباق والسيارات, محاكاة الواقع, رياضة, ذكاء, تصويب, العاب قديمة, خفيفة و مسلية, خيال علمي, نجاة"
